Date ,NSW nersi_max_capacity,NSW total_available_capacity_MW,NSW total_demand_MW,QLD nersi_max_capacity,QLD total_available_capacity_MW,QLD total_demand_MW,SA nersi_max_capacity,SA total_available_capacity_MW,SA total_demand_MW,TAS nersi_max_capacity,TAS total_available_capacity_MW,TAS total_demand_MW,VIC nersi_max_capacity,VIC total_available_capacity_MW,VIC total_demand_MW,
2019-07-04 13:00:00,7686,16609.334585841178,7687.1279296875,5240,12452.07026259508,5241.7880859375,1990,5148.820777573439,1991.8345947265625,1389,3272.4595897820172,1390.9383544921875,5804,12747.304532170296,5805.53466796875,
2019-07-04 14:00:00,7799,16588.15222239065,7800.9296875,5400,12392.783959247505,5401.5576171875,2023,5150.785645140816,2024.1610107421875,1372,3272.4595897820172,1373.8336181640625,5785,12598.919688537717,5786.37451171875,
2019-07-04 15:00:00,8018,16170.3094645497,8019.033203125,5687,12510.523928310191,5688.982421875,2078,5039.21985033655,2079.01416015625,1297,3272.4061936858134,1298.02783203125,5767,12571.811842918396,5768.10107421875,
2019-07-04 16:00:00,8304,16069.020231261904,8305.1025390625,6051,12135.153015645483,6052.0869140625,2167,4972.389790984352,2168.760009765625,1336,3272.1445014537217,1337.16162109375,5851,12513.389264903963,5852.39697265625,
2019-07-04 17:00:00,8820,16026.203416320861,8821.693359375,6360,11741.966408940374,6361.45263671875,2209,4915.380340067087,2210.677490234375,1412,3272.391251529216,1413.4544677734375,6068,12467.640221238136,6069.6875,
2019-07-04 18:00:00,9965,16059.527019317627,9966.1640625,6715,11755.77438131911,6716.39599609375,2420,4924.8038811616625,2421.59326171875,1505,3272.454843673716,1506.5357666015625,6538,12409.564310908318,6539.330078125,
2019-07-04 19:00:00,9951,16106.670449128429,9952.1357421875,6705,11673.97759863038,6706.02490234375,2585,4946.830245513684,2586.731201171875,1487,3272.4539115722855,1488.7451171875,6412,12436.458293497562,6413.27880859375,
2019-07-04 20:00:00,9536,16150.392585725269,9537.32421875,6631,11696.060745553857,6632.501953125,2515,4938.959991729368,2516.77880859375,1492,3272.4595897820172,1493.5538330078125,6087,12553.582778275013,6088.19921875,
2019-07-04 21:00:00,9301,16192.713268827081,9302.7001953125,6479,11665.13987889852,6480.0673828125,2426,4915.90040263289,2427.7783203125,1460,3272.4595897820172,1461.3948974609375,5819,12577.207889914513,5820.90380859375,
2019-07-04 22:00:00,8766,16160.466397594095,8767.998046875,6141,11664.614908503874,6142.53955078125,2271,4926.316715463679,2272.38134765625,1360,3272.3984895821573,1361.7423095703125,5359,12580.947387039661,5360.64208984375,
2019-07-04 23:00:00,8564,16118.632706473947,8565.181640625,5834,11623.188097352657,5835.60498046875,2080,4908.8864933185305,2081.7958984375,1282,3272.0868252999308,1283.771240234375,5122,12583.819089472294,5123.07080078125,
2019-07-05 00:00:00,8273,16113.450982357741,8274.765625,5533,11545.931913174929,5534.17822265625,2188,4856.743217614828,2189.3935546875,1200,3261.305826289674,1201.4010009765625,5299,12586.765409588814,5300.29833984375,
2019-07-05 01:00:00,7864,16130.959160874963,7865.72900390625,5254,11130.465980235454,5255.18505859375,1693,4638.743244994647,1694.4522705078125,1151,3272.4214592245394,1152.265869140625,4756,12436.611369431019,4757.333984375,
2019-07-05 02:00:00,7436,16135.656003460965,7437.17333984375,4958,11132.899797846996,4959.0263671875,1479,4670.676480380236,1480.127197265625,1120,3272.4595897820172,1121.807861328125,4555,12540.017205119133,4556.03369140625,
2019-07-05 03:00:00,6764,16113.485200852832,6765.330078125,4798,11157.901300646452,4799.51318359375,1350,4657.969928587869,1351.2537841796875,1128,3272.4595897820172,1129.5054931640625,4249,12577.492089867592,4250.3896484375,
2019-07-05 04:00:00,6431,16098.748512179336,6432.935546875,4760,11149.060374858891,4761.32177734375,1278,4600.843422406169,1279.631103515625,1138,3272.4230856464224,1139.114501953125,4170,12545.411875069141,4171.23046875,
2019-07-05 05:00:00,6464,16077.932603399635,6465.2236328125,4906,11151.405989716483,4907.84326171875,1257,4546.083026677054,1258.1488037109375,1139,3271.939705453816,1140.2364501953125,4191,12543.447542309761,4192.26416015625,
2019-07-05 06:00:00,7048,16023.403235393942,7049.96337890625,5254,11154.661296411083,5255.720703125,1301,4455.402328931543,1302.0546875,1198,3272.4595897820172,1199.323974609375,4481,12263.96600419283,4482.43115234375,
2019-07-05 07:00:00,8168,15997.225820862433,8169.04541015625,5820,11522.900580736714,5821.57177734375,1495,4376.471779401496,1496.409423828125,1360,3272.4595897820172,1361.1204833984375,5302,12160.411502093077,5303.8818359375,
2019-07-05 08:00:00,8781,16087.37856667929,8782.3876953125,6059,11902.944266506263,6060.7333984375,1742,4484.83759892168,1743.824951171875,1560,3272.4595897820172,1561.1500244140625,5812,12351.481597393751,5813.669921875,
2019-07-05 09:00:00,8704,16210.44751765895,8705.8359375,5916,12196.188506571343,5917.6552734375,1844,4628.068923051551,1845.4298095703125,1545,3272.4595897820172,1546.21044921875,5908,12651.97922384739,5909.79638671875,
2019-07-05 10:00:00,8399,16337.790542675237,8400.0078125,5633,12324.01754798029,5634.73779296875,1714,4716.7284055710925,1715.0177001953125,1476,3272.4595897820172,1477.5115966796875,5648,12877.545748054981,5649.27392578125,
2019-07-05 11:00:00,7983,16401.047138314127,7984.103515625,5401,12406.140800967834,5402.44921875,1559,4773.945670363842,1560.071044921875,1388,3272.432035722398,1389.496826171875,5489,12856.651189923286,5490.52978515625,
2019-07-05 12:00:00,7655,16399.95706305472,7656.5302734375,5360,12405.252190915511,5361.6455078125,1429,4800.030834527635,1430.333984375,1364,3272.413507828667,1365.5721435546875,5444,12677.700870335102,5445.11962890625,
